age,gender,education_level,employment_status,monthly_income_usd,monthly_expenses_usd,savings_usd,loan_interest_rate_pct
28,0,3,0,5153.52,2666.13,210984.81,10.37
63,1,0,0,3615.78,2132.52,61675.88,14.79
59,1,0,0,3866.94,2155.17,392730.24,4.26
38,0,0,0,4490.56,3320.63,297905.93,10.02
38,1,2,0,1460.62,1268.14,169609.99,14.29
32,0,2,0,7165.19,4548.38,478911.39,13.55
40,0,0,1,4759.74,1986.55,111295.7,10.46
45,1,1,3,4425.49,2496.84,328802.42,29.11
61,1,0,3,2803.26,2363.75,249694.64,22.93
47,0,0,0,4663.96,2182.84,481185.38,24.73
36,0,1,1,4381.0,1568.05,131153.94,11.03
39,0,3,0,6958.16,4201.06,532518.83,4.23
25,1,1,0,1098.58,591.12,7111.4,25.09
65,1,2,2,4289.74,3054.1,63493.01,6.27
58,1,0,0,5523.61,2064.74,373212.19,25.83
65,1,0,0,6866.84,4226.45,425659.95,23.57
46,0,0,0,6444.25,4176.73,436217.64,9.17
20,2,0,0,4222.34,3611.72,212810.36,10.81
54,0,0,3,4028.65,1421.8,295288.07,17.62
66,0,1,0,4312.38,2433.32,160063.43,12.25
28,0,0,0,2956.2,2274.6,261528.68,8.44
33,0,0,1,3752.54,2550.77,35276.54,23.69
57,1,2,0,3287.06,1789.03,29721.5,3.16
30,0,2,0,3016.73,1147.25,229245.7,3.0
49,0,2,0,2283.1,824.51,100446.79,24.3
66,1,4,1,6251.18,4452.16,374227.57,3.12
57,1,0,0,6004.17,4618.46,395099.13,27.6
25,0,2,0,4624.14,3061.07,265610.72,28.45
52,0,0,2,3564.92,3036.0,78856.54,25.39
60,0,1,0,4612.03,3695.36,435325.81,9.0
49,0,0,1,4495.02,3913.17,313582.32,18.49
25,1,0,3,1188.49,983.71,66375.13,21.73
21,1,2,0,2137.46,1013.19,238976.54,18.94
25,0,1,0,4836.8,4214.46,30180.51,6.51
18,0,1,2,6803.2,2690.09,153801.68,6.38
50,2,0,0,4612.82,2880.43,240955.26,28.72
37,0,2,0,7684.96,5407.31,736570.75,25.49
50,1,0,1,1294.66,444.41,33145.48,22.8
37,1,0,0,4154.95,1758.37,243418.23,29.15
46,0,1,0,7346.9,5062.77,242207.9,22.08
40,1,4,0,6762.91,2898.88,225690.42,22.78
28,0,0,0,4999.37,4297.59,329245.37,22.92
30,1,0,0,2466.69,781.91,64507.61,14.04
65,0,2,2,4271.44,3037.34,61164.05,17.94
69,0,2,0,4329.82,3774.26,173266.47,11.6
65,0,1,0,5069.26,3625.76,130293.93,28.69
28,1,0,3,2205.91,717.34,128243.0,20.5
30,0,0,2,2653.91,1146.67,113698.39,15.53
49,1,0,1,6892.39,2462.12,93164.54,17.07
69,1,2,1,1222.22,852.49,51845.55,19.35
49,0,1,0,5402.37,4044.77,103143.36,14.21
55,1,3,0,3415.48,3069.07,102087.95,3.61
47,1,2,0,1936.53,735.08,120030.63,13.86
40,0,2,0,3876.09,2671.34,131415.88,7.84
45,0,0,0,6661.73,5331.22,516538.69,19.04
40,0,0,0,3236.95,1661.18,263068.58,6.97
48,1,0,3,2839.71,1667.19,266734.12,5.22
59,1,0,0,7665.11,5873.23,794333.15,23.66
30,0,2,0,2725.38,1567.08,116986.56,10.87
40,0,0,3,1779.99,1430.24,36113.74,23.88
55,1,2,0,3107.51,1459.54,158257.95,28.2
55,1,2,0,2221.52,1041.83,256912.58,19.81
29,0,0,1,3459.68,2472.4,115795.57,14.61
68,0,0,0,4668.35,3693.8,551088.37,12.38
42,0,0,0,3689.48,1666.59,257609.28,15.89
37,1,2,1,7446.93,2539.93,378444.34,5.07
65,1,0,0,1600.28,1324.39,107821.13,11.45
69,1,1,0,5733.98,4592.74,670836.91,28.01
28,1,1,3,2617.25,1174.42,220081.14,4.67
46,0,0,0,500.0,300.08,4722.01,27.77
33,1,2,1,5748.35,1780.53,504583.45,6.41
34,0,4,1,1303.69,624.82,139592.04,7.0
29,0,0,3,7522.38,5051.31,175819.27,24.51
25,1,3,0,3999.37,2604.94,262019.85,18.81
58,1,1,0,1650.32,869.23,14143.19,20.77
51,1,2,1,8330.11,6856.91,580986.98,5.14
35,1,2,0,6381.1,4266.66,404633.3,8.42
19,0,2,1,5191.58,2563.91,615434.01,24.65
50,0,1,0,2335.88,1071.43,142538.62,15.59
27,0,0,1,7870.64,3232.28,198596.09,16.82
58,0,0,0,7794.58,3725.56,80828.85,7.48
30,1,1,1,5023.0,2938.73,556474.02,24.13
38,1,0,0,2165.3,739.43,215462.18,21.88
52,1,1,1,5158.84,4322.82,126493.53,27.05
40,1,2,2,500.0,248.23,10378.46,14.77
23,0,1,0,2608.61,1409.14,254729.97,10.93
40,1,0,3,1882.78,736.41,75749.34,20.06
31,1,3,0,4091.23,3161.63,443922.49,16.11
43,1,0,0,4283.53,1298.27,231801.73,26.52
40,0,0,0,5874.65,2995.35,608993.15,6.57
35,1,2,1,4736.32,3550.48,522129.53,4.05
18,0,0,3,3955.44,2455.52,408283.91,3.49
55,2,3,0,4470.78,2122.8,227055.27,11.91
34,1,2,3,1348.41,503.63,103324.49,8.13
24,0,2,2,3348.78,2194.57,282875.2,20.68
50,0,2,0,3752.54,2538.97,90104.15,26.96
60,1,0,0,2059.75,1355.07,201750.06,9.41
40,1,1,0,1208.42,642.98,13018.31,27.59
63,2,0,0,4211.72,2019.68,220635.01,25.49
45,1,1,0,5505.36,4423.34,366758.62,22.74
31,0,0,1,1625.07,972.36,36394.8,13.63
52,1,0,1,621.09,206.01,54319.84,18.24
46,1,0,3,4712.43,2196.24,318139.62,16.56
55,0,2,0,2804.48,1387.56,227508.98,16.05
57,0,1,0,3549.8,2378.46,367272.65,19.66
35,1,0,1,2099.73,846.5,139048.68,26.01
19,1,3,0,3602.63,2582.91,8838.96,18.71
38,1,1,2,4796.89,2354.04,10758.14,17.54
31,1,2,0,3514.6,1408.69,152357.62,7.1
66,1,0,0,500.0,357.52,39883.76,16.89
21,0,0,3,6159.36,2077.69,609389.26,25.67
66,1,1,0,3298.23,2841.41,183047.44,27.12
38,1,0,1,5209.18,1762.48,52253.03,22.25
55,1,2,0,4987.12,2440.6,296898.95,14.1
34,1,2,1,3500.05,2083.42,414387.38,25.78
20,1,3,0,3995.98,2685.86,263424.47,8.77
42,0,2,3,6042.2,4304.1,231807.21,9.1
40,1,2,3,2309.74,1563.8,123135.71,10.17
26,0,2,0,2032.55,1826.46,66078.03,21.81
67,1,0,0,6077.87,4556.75,512392.82,3.32
65,0,2,1,5360.46,2208.26,126303.08,25.69
23,0,2,1,5275.44,2488.32,407713.1,7.5
35,2,4,0,5078.56,2292.43,558318.83,27.49
69,1,0,1,1522.87,577.3,162308.52,25.06
46,1,0,0,3769.73,3258.17,431244.77,26.64
68,0,1,0,3694.23,2613.05,108357.5,29.69
20,1,0,3,2500.45,1141.2,30486.47,22.14
47,1,2,0,5672.6,4703.64,653138.67,12.27
69,2,3,0,5385.54,3601.31,577466.29,13.51
19,1,3,3,3618.26,2800.71,269254.05,12.96
20,0,2,0,500.0,439.48,16848.4,9.96
19,0,2,0,6168.27,3551.31,373040.88,23.66
20,0,1,3,4464.43,3381.9,315589.62,19.8
63,0,2,0,4873.92,4102.48,409284.86,23.61
50,0,4,0,4904.65,3191.15,470194.84,25.46
50,0,2,2,500.0,388.19,29497.08,28.63
47,1,1,0,3525.35,2479.79,141918.97,10.45
45,0,0,0,3015.42,1517.48,205567.11,8.35
49,1,1,2,4228.95,2940.56,502010.57,5.97
38,0,3,1,2045.05,803.44,75625.25,14.0
54,0,0,0,10153.72,6467.48,218230.54,16.48
31,1,2,1,6720.23,2378.24,213107.96,30.0
47,0,0,0,5289.04,2190.87,236772.14,29.62
24,1,0,1,1723.88,1341.96,149545.26,6.12
26,1,0,2,6020.32,4342.42,273088.73,24.0
66,0,0,1,4385.19,2751.49,192507.87,14.03
21,0,2,0,6096.97,3357.14,60253.36,16.99
42,1,2,3,4029.02,2660.45,258543.09,19.97
61,1,1,0,3122.13,1129.41,274558.45,22.48
29,1,2,1,533.06,166.65,46415.29,29.16
20,1,2,2,3960.99,2857.44,405660.62,22.61
68,1,3,0,6513.55,2593.73,222126.44,13.49
41,1,1,0,3943.28,1372.41,226995.06,23.83
28,0,2,0,4907.17,1668.42,588021.39,25.72
41,1,0,2,5493.22,3163.9,402699.2,29.44
68,1,2,1,4651.16,2851.62,329189.27,4.43
51,1,1,0,2733.43,962.3,199887.0,20.9
36,1,2,3,4143.67,1424.21,464081.08,20.45
46,0,1,0,4132.31,1420.03,392848.82,12.69
59,1,0,1,3037.08,2462.33,291741.69,12.16
54,1,0,1,3639.64,1580.19,407983.5,7.8
58,1,0,0,4512.34,4058.96,159183.54,10.7
37,0,4,3,4514.28,2845.47,448338.07,15.62
36,0,1,0,3049.99,2579.54,233342.74,8.42
42,1,0,2,7236.18,3631.01,291170.83,23.76
52,0,0,1,4430.44,2424.19,497130.82,17.83
21,0,2,1,5533.1,3831.38,342924.74,13.33
26,0,2,0,2935.66,1283.48,311298.61,5.51
45,1,2,0,7734.78,6264.44,278071.41,6.58
69,0,0,1,4271.13,2990.74,467668.81,8.04
46,1,2,0,5457.04,2451.49,16595.9,3.57
31,1,0,3,4009.16,1930.84,227594.17,15.29
56,1,2,0,6372.29,3096.35,72595.43,6.43
37,1,0,1,2227.36,808.66,184830.95,11.83
67,0,0,0,7167.1,2171.97,790027.47,20.72
51,0,2,1,4325.72,2610.11,44835.01,27.04
23,0,0,2,7136.36,3760.92,644180.8,15.31
43,1,2,0,2878.09,1733.88,189758.07,28.97
48,1,0,0,3840.18,1586.11,30268.71,27.89
45,1,0,3,2577.39,2096.41,160681.55,5.69
28,1,2,0,3781.95,2973.2,245620.59,27.17
66,1,2,0,4068.75,2208.16,180640.46,7.74
18,1,1,0,3682.7,1607.57,126746.2,6.62
46,2,2,0,3714.27,1932.78,407682.6,25.59
20,0,4,3,4422.56,2837.91,457736.23,8.75
26,0,3,2,2084.74,1683.59,108380.79,16.51
48,0,2,2,5371.72,2088.85,482713.94,22.83
22,0,2,0,3049.7,1338.17,269899.19,11.44
33,1,0,1,5146.19,1828.76,452178.28,14.89
53,1,0,3,1982.29,1388.42,12704.51,27.14
47,1,0,1,3406.25,2585.1,74745.99,16.84
48,0,1,0,2751.95,1064.31,230604.32,14.0
19,1,1,0,4229.78,2443.17,410338.23,5.36
19,0,1,0,3339.23,1258.6,172746.22,26.81
58,0,0,0,3682.92,1612.94,230161.77,13.29
64,1,2,1,500.0,220.97,43961.6,26.39
60,1,1,0,1049.18,927.36,25404.41,25.66
57,0,0,0,6045.03,3393.93,168315.89,16.84
41,1,2,0,6039.55,1990.51,8931.77,5.92
63,0,2,0,5676.15,1918.3,413439.68,26.76
24,0,0,2,5288.15,2328.92,59361.01,7.15
63,1,1,1,2924.85,2004.48,88859.96,10.33
25,0,0,0,4063.52,3172.89,196832.99,17.9
26,0,2,0,529.4,460.77,46526.74,18.82
21,0,2,0,4115.27,2984.43,60886.46,9.52
68,1,1,3,6425.48,1934.63,178561.45,8.53
27,1,1,1,2960.45,1450.65,241761.33,3.08
30,1,2,0,1509.93,506.01,56596.89,27.25
69,0,2,1,2156.69,966.89,257800.67,11.85
46,0,2,0,8884.67,4787.52,38576.28,11.89
29,0,2,3,5157.86,3458.95,401062.16,16.87
29,0,2,2,4920.08,2977.26,284569.36,13.69
60,0,0,0,3856.6,3037.52,65382.31,23.62
45,0,0,0,5803.97,3615.19,330220.89,7.34
43,1,2,3,8393.29,3734.21,518328.57,15.21
20,1,2,1,4125.42,1881.35,292977.37,24.21
68,1,4,0,2694.15,1128.03,273167.28,10.3
56,0,1,0,541.8,298.92,21022.06,3.49
53,0,1,0,1499.37,734.19,77412.1,7.14
59,1,0,1,3126.97,2129.76,341637.69,17.62
31,0,0,3,3546.53,2892.55,254875.37,13.48
62,1,1,0,4385.93,3347.43,436802.12,26.81
59,0,0,0,975.4,449.8,100948.32,10.94
25,1,0,1,2808.06,1664.68,55015.83,18.43
62,0,3,0,9958.11,6326.43,848384.2,28.57
19,1,1,0,3777.41,2742.25,244045.54,12.1
20,1,4,0,2298.23,1968.99,228929.73,27.46
57,0,0,1,5338.85,1806.24,26461.8,21.43
61,0,0,0,4937.69,3428.69,255040.91,13.42
48,1,0,0,4110.01,2971.03,170535.6,11.63
66,1,0,0,7612.18,2661.22,123233.18,20.62
31,0,0,0,6328.12,4318.53,546135.19,28.2
40,1,1,0,5001.83,3329.55,388412.07,11.46
52,1,2,0,2035.35,1565.01,227511.32,3.14
38,0,1,0,5137.63,1900.24,370223.68,17.97
24,1,0,1,5601.4,1718.7,470209.82,18.87
40,0,1,2,8119.69,4257.61,552643.46,14.77
47,1,2,0,2933.4,1078.65,189445.85,24.82
53,2,4,0,2124.6,1837.74,182040.37,24.92
40,1,4,1,500.0,376.48,20163.6,19.53
51,0,2,0,3170.74,1226.53,309382.39,17.25
26,1,1,1,7296.01,4200.24,868395.41,25.46
63,0,2,1,4339.73,3668.59,490860.71,17.5
20,1,4,0,6583.36,3425.35,22666.83,21.78
38,1,0,0,2748.17,894.26,210136.05,23.45
23,0,4,0,5448.98,4221.42,173972.87,22.76
23,1,2,0,3061.31,1785.57,142931.43,11.77
64,1,2,0,5967.85,2857.33,15577.97,17.44
44,0,1,0,1731.66,1101.22,63983.43,17.44
24,0,0,0,2638.45,1224.23,292999.68,10.1
37,1,1,1,4181.46,1516.57,123005.65,18.19
62,1,0,1,3279.45,1192.32,47664.31,5.87
63,1,1,0,5245.06,1710.09,223435.27,16.37
56,1,2,0,5506.83,2900.89,309950.2,7.33
34,0,1,0,4199.65,2593.96,202356.37,5.02
29,0,1,2,4871.99,2187.92,377738.94,26.81
18,1,1,0,6500.57,4847.43,47073.56,6.9
58,0,2,0,2524.89,1874.32,212913.66,25.96
62,0,2,1,6867.67,4799.71,241730.22,24.68
30,2,0,0,4623.69,2272.29,426955.72,6.09
44,1,1,0,768.31,469.01,2287.56,28.22
27,0,0,2,4384.45,2362.36,195060.21,19.3
56,1,0,0,2592.6,1885.63,181683.82,14.3
46,1,2,0,2035.02,920.03,82437.41,16.84
54,0,0,0,4283.19,2194.46,312137.8,18.07
60,1,2,3,4716.99,4024.41,84545.11,12.93
68,2,2,0,6148.35,2349.6,256465.08,17.5
62,0,2,0,4135.53,2811.41,289076.39,12.4
40,0,0,0,4641.86,2941.23,162654.99,21.06
61,1,1,1,7899.99,2679.04,298011.2,24.06
69,1,2,0,500.0,311.63,15904.83,15.29
24,0,0,0,1793.5,552.49,92249.21,21.36
61,0,0,3,1082.48,633.59,42215.87,5.68
37,0,3,1,4479.54,1730.07,283366.49,16.07
34,1,1,3,2383.95,1114.64,107078.99,4.26
43,1,0,2,5205.22,2895.48,349257.82,24.61
51,0,0,0,5884.15,3641.21,147742.44,4.95
57,1,2,3,898.84,511.3,38043.94,17.98
69,0,0,0,500.0,300.79,29813.59,8.28
58,1,0,1,3134.72,2648.01,139015.04,12.3
64,0,2,0,500.0,165.01,29542.62,23.78
60,1,2,3,2898.63,1298.26,6579.52,18.93
66,1,1,0,959.07,582.86,82391.92,11.83
18,1,0,3,500.0,329.74,59532.31,26.35
44,0,1,1,3386.49,1630.36,324188.53,18.99
48,1,0,0,2674.09,1644.27,176007.66,12.27
39,0,2,0,1174.64,1021.12,48233.38,23.2
44,0,0,3,4622.97,3963.95,485718.96,5.96
32,1,0,1,4246.86,2688.47,379686.1,28.9
48,0,0,0,1083.57,634.02,122963.48,15.39
34,0,0,0,1366.21,943.91,43683.0,8.81
24,1,2,3,5204.39,3428.01,15438.48,5.81
64,1,2,0,2814.67,2486.79,15935.71,21.33
67,1,0,1,4039.41,1756.54,98508.06,5.14
23,0,2,0,5783.33,2850.09,504789.7,10.65
38,0,1,0,2089.64,1554.38,65116.04,28.6
48,1,0,1,2538.57,1944.43,99926.79,28.62
62,1,2,0,5064.93,2439.52,303696.34,21.04
21,0,0,0,3470.04,2721.0,125330.97,4.63
68,1,1,0,3287.21,1364.93,357141.33,20.87
28,1,2,0,6930.71,5846.23,816604.8,8.05
45,0,1,0,3115.54,1913.58,183387.66,18.58
45,0,0,1,3350.28,1607.9,89131.05,21.32
37,1,3,3,2824.52,2444.46,158126.92,23.72
22,0,3,0,908.11,475.28,12757.41,4.31
67,1,0,0,3029.0,1395.16,331668.56,3.36
59,0,0,0,6284.41,2850.55,500773.02,6.14
49,1,1,0,3153.57,2345.36,166209.41,20.89
20,0,0,0,4782.11,2033.58,281740.32,28.48
37,0,2,1,2586.66,814.5,121035.88,4.19
52,1,0,0,4935.44,3459.84,139710.03,19.08
47,0,2,1,3118.96,2681.09,101745.94,6.07
62,1,1,0,2413.67,1079.36,279831.33,19.61
39,1,4,0,5745.52,4242.63,35791.09,20.94
54,1,2,1,2911.62,2076.89,322998.51,7.26
54,1,1,0,4627.07,4075.44,181485.61,23.32
31,0,0,0,7049.03,4673.81,585134.06,25.07
52,0,0,1,4094.6,3270.74,182485.79,15.12
35,2,2,3,5389.34,2691.26,583160.14,28.91
45,1,4,3,1742.73,1104.95,68189.01,21.45
34,0,0,0,2845.2,1136.15,139541.71,16.03
32,2,0,0,2517.63,2116.66,40737.77,17.76
62,1,2,0,920.56,751.69,90962.02,9.85
60,1,1,0,4184.26,3073.45,187119.39,28.59
33,1,0,0,2002.13,1548.07,85994.03,27.4
63,1,1,0,5507.27,3893.73,193849.99,23.58
46,0,3,0,6186.72,5386.57,64041.22,29.79
34,0,0,0,1826.83,807.6,111254.9,4.59
40,1,2,2,1574.69,538.34,49758.45,14.04
38,0,2,0,6550.41,4497.76,563529.51,11.3
38,1,1,0,6287.13,4665.37,168585.35,25.66
34,1,0,1,8383.47,5422.18,535329.76,29.11
50,0,0,1,3900.18,1989.18,210433.67,15.98
44,1,2,0,3152.32,1470.97,74146.75,7.68
44,1,1,0,4451.61,2545.47,469545.54,5.56
21,0,0,0,3870.17,1799.72,69853.72,13.58
22,1,1,0,5685.03,1834.39,667096.89,28.34
67,0,0,1,4839.98,3998.35,318340.09,8.58
18,1,0,1,2403.59,1336.23,55982.66,27.18
27,0,2,0,6037.07,4793.86,117883.42,18.62
35,0,0,0,2584.34,819.13,7678.95,16.16
25,1,1,0,4576.48,2479.63,520091.72,23.34
43,1,0,0,6330.74,3740.62,87152.35,14.16
68,2,2,1,1832.4,1178.15,210468.08,9.54
69,1,1,0,6367.48,4387.35,438689.23,4.1
24,0,2,0,5409.53,3718.65,639982.4,12.15
41,1,0,0,3508.01,2115.58,403745.46,21.35
45,0,0,1,1543.02,601.92,122787.52,24.92
49,0,0,0,6414.73,3587.44,460958.74,15.26
56,2,2,0,946.22,525.33,69039.77,10.36
64,1,0,2,7617.18,5580.97,240104.7,28.54
28,0,2,0,2564.29,1812.72,277919.45,4.61
20,1,0,3,8800.8,7581.72,823290.31,22.93
52,1,1,0,4294.82,3190.69,255224.68,8.81
46,1,2,0,5627.57,2609.47,112634.21,5.3
51,1,0,0,2351.88,1782.69,211108.24,26.97
53,0,1,3,2949.01,2215.4,19551.15,15.86
32,0,1,0,4625.62,1544.16,294085.76,7.66
41,0,1,0,5398.42,2584.07,42066.1,14.53
49,0,1,1,784.72,705.78,30603.23,28.56
18,1,0,0,5126.2,4005.87,414421.81,24.61
29,0,0,0,4477.83,2655.97,65984.66,28.75
60,0,0,1,6739.77,3742.6,706185.78,8.31
61,1,2,1,4262.1,3753.16,509501.0,17.37
22,1,4,0,5938.41,3208.14,15489.8,26.8
61,1,1,0,3393.77,3050.72,5485.53,4.64
61,0,0,3,3628.9,3093.03,407407.61,29.31
27,1,0,3,4527.95,3089.8,403181.56,28.93
54,0,2,2,1432.29,901.43,2316.14,9.88
53,1,3,0,2450.4,1446.7,207257.91,29.16
37,1,2,1,5562.35,4904.43,121416.92,15.94
56,1,2,0,3262.87,2102.43,14448.89,12.54
41,0,0,0,616.6,359.06,7568.03,25.93
47,0,4,0,500.0,403.33,38114.28,8.38
53,2,3,0,672.32,377.68,51338.86,11.52
64,0,2,3,1902.63,966.75,10549.12,21.04
48,1,2,0,2064.06,1363.9,177112.72,23.83
43,1,2,2,2280.35,811.14,142740.58,20.11
26,1,2,0,5890.39,5045.87,250258.5,20.59
24,0,1,0,1611.6,1238.13,178314.32,4.49
22,2,2,0,4007.97,2178.92,420561.63,3.07
51,1,2,0,1117.32,542.08,81959.82,4.72
68,0,1,0,500.0,359.93,12810.96,26.73
29,0,0,1,2834.2,2167.14,91770.85,17.06
62,1,2,3,6254.91,3354.88,549592.6,26.98
50,1,3,0,4436.25,3284.25,174968.77,9.34
30,2,0,0,2629.96,2153.61,220198.75,24.09
36,0,0,1,7586.23,4303.37,651013.6,13.01
19,1,0,0,7892.49,6772.42,653880.65,8.25
51,0,3,2,5266.77,2879.91,158594.67,26.26
44,1,2,1,5011.02,3524.2,97539.05,12.69
20,1,0,3,4349.13,3623.5,173691.97,5.97
69,1,0,0,1989.06,1083.56,119886.14,7.9
37,0,2,1,7988.25,4550.82,238932.88,29.25
61,1,0,3,4965.85,1872.76,373088.38,25.94
30,0,1,0,6493.62,5043.02,386168.01,5.31
22,1,1,2,3591.23,2329.9,327477.68,16.35
63,0,2,1,4678.44,3956.63,465743.39,5.18
42,0,0,0,5304.57,4436.07,168157.24,5.9
19,0,2,0,5293.49,1992.06,255346.32,27.53
47,0,0,3,8338.54,3108.46,183871.15,19.17
51,0,0,0,2966.93,1479.84,179945.14,18.37
43,1,4,0,4094.6,2658.71,101281.22,23.48
33,2,2,2,3218.09,2736.36,287359.24,12.75
30,1,0,0,3588.65,1135.17,240145.99,16.58
36,1,2,3,6414.01,2623.95,347352.59,19.4
26,0,2,1,3122.71,2295.14,9569.73,25.4
53,1,4,0,2069.55,709.55,117373.99,20.44
40,2,0,0,7270.98,4454.65,255466.51,11.51
69,1,2,0,5020.5,2507.96,569589.86,6.42
48,0,2,2,2494.96,1134.51,30921.58,14.7
62,0,1,0,4307.5,3394.34,55703.96,22.55
29,0,2,3,6208.96,5312.41,25010.67,26.58
56,0,0,0,1945.98,1255.93,139688.88,18.73
57,0,0,0,6350.1,3556.18,579957.54,16.86
42,0,3,0,2710.07,2165.67,34010.38,22.41
69,1,1,0,2392.37,2081.25,10740.69,17.52
30,0,0,1,2486.88,1098.09,113529.87,3.12
44,1,1,0,8270.64,3205.05,191916.33,13.67
53,1,0,0,5060.92,2865.63,19323.9,28.5
68,2,2,2,885.75,771.12,99792.71,24.19
54,2,2,2,3792.97,3348.35,172341.62,22.99
36,2,1,3,5718.0,5054.87,184949.12,4.3
48,0,2,1,3314.9,2145.81,209590.3,12.48
49,0,1,0,3421.07,2510.67,15932.79,14.96
67,1,1,1,5442.54,2014.29,268057.37,18.1
46,1,0,0,500.0,232.3,42095.15,29.17
57,1,4,0,4033.4,2021.33,5472.52,16.02
66,1,1,0,657.34,404.87,20337.93,25.2
29,1,2,0,2268.18,1862.65,77856.14,5.51
47,1,0,0,3974.87,2201.55,69565.82,22.32
38,0,0,0,4334.57,1823.34,69272.92,4.33
56,1,0,0,2387.26,1965.78,97181.72,16.59
26,1,4,2,500.0,173.19,41128.94,7.87
54,0,0,3,3343.68,1204.01,324774.48,9.1
52,0,2,3,3852.65,2445.99,208720.27,8.85
22,0,1,0,1838.21,674.59,98518.75,28.67
65,0,3,1,2149.09,721.63,97943.54,13.08
62,0,0,3,500.0,385.83,10653.31,28.01
61,1,1,1,577.35,503.76,63567.24,20.57
26,1,2,0,1815.07,1400.07,196326.45,11.6
18,0,1,0,6400.99,3588.42,262567.05,10.8
42,0,2,0,3516.64,2222.64,273388.63,20.25
23,0,2,0,4695.04,2625.05,203812.0,7.11
61,0,0,0,3811.24,1255.98,66325.43,26.26
45,0,2,0,8035.61,5571.37,230579.19,7.04
20,1,0,0,6311.88,4265.69,341558.85,20.93
63,0,1,0,4496.46,3910.13,11389.72,18.47
26,1,0,2,3811.67,1531.28,374748.91,12.89
33,0,1,1,4741.54,1946.44,502658.58,16.2
57,0,0,0,3640.31,2985.85,49829.12,5.34
63,0,0,0,5632.16,3864.68,169829.87,11.28
27,1,2,2,6352.69,4723.6,610026.04,8.04
